1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.5,0.5394736842105263,0.6341463414634146,0.7105263157894737,0.8392857142857143,0.7058823529411765,0.8571428571428571,0.797752808988764,0.9012345679012346,0.8571428571428571,0.5555555555555556,1.0,1.0,-1.0,-1.0,0.99
0.4605263157894737,0.5,0.6029411764705882,0.4444444444444444,0.16666666666666666,0.7222222222222222,0.6938775510204082,0.4444444444444444,0.6666666666666666,0.6451612903225806,0.8333333333333334,1.0,-1.0,-1.0,0.93,-1.0
0.36585365853658536,0.39705882352941174,0.5,0.625,0.5,0.5760869565217391,0.6111111111111112,1.0,1.0,0.6923076923076923,0.6785714285714286,-1.0,-1.0,0.88,1.0,-1.0
0.2894736842105263,0.5555555555555556,0.375,0.5,0.5625,0.3333333333333333,0.3333333333333333,0.36363636363636365,0.5,1.0,-1.0,0.6904761904761905,0.78,-1.0,-1.0,-1.0
0.16071428571428573,0.8333333333333334,0.5,0.4375,0.5,0.5,-1.0,0.25,0.25,1.0,-1.0,0.61,0.8421052631578947,-1.0,-1.0,-1.0
0.29411764705882354,0.2777777777777778,0.42391304347826086,0.6666666666666666,0.5,-1.0,0.6666666666666666,0.25,-1.0,0.6,0.61,-1.0,-1.0,0.875,-1.0,-1.0
0.14285714285714285,0.30612244897959184,0.3888888888888889,0.6666666666666666,-1.0,0.3333333333333333,-1.0,0.5,-1.0,0.56,0.0,-1.0,-1.0,1.0,0.5,-1.0
0.20224719101123595,0.5555555555555556,0.0,0.6363636363636364,0.75,0.75,0.5,-1.0,0.52,-1.0,1.0,0.0,1.0,-1.0,-1.0,-1.0
0.09876543209876543,0.3333333333333333,0.0,0.5,0.75,-1.0,-1.0,0.48,-1.0,1.0,0.0,-1.0,1.0,-1.0,-1.0,1.0
0.14285714285714285,0.3548387096774194,0.3076923076923077,0.0,0.0,0.4,0.44,-1.0,0.0,-1.0,0.3333333333333333,-1.0,-1.0,1.0,1.0,-1.0
0.4444444444444444,0.16666666666666666,0.32142857142857145,-1.0,-1.0,0.39,1.0,0.0,1.0,0.6666666666666666,0.5,-1.0,-1.0,1.0,-1.0,-1.0
0.0,0.0,-1.0,0.30952380952380953,0.39,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.5,0.75,-1.0,-1.0,-1.0
0.0,-1.0,-1.0,0.22,0.15789473684210525,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.25,0.5,-1.0,-1.0,-1.0
-1.0,-1.0,0.12,-1.0,-1.0,0.125,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.5,-1.0,-1.0
-1.0,0.07,0.0,-1.0,-1.0,-1.0,0.5,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.01,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5
